10000507-wisit_sasanatieng	0d
10000961-jody_hill	1d
10002677-chris_hall	2d
10004245-mamoru_hosoda	3d
10004810-sophie_fiennes	4d
1000993-bruce_barry	5d
1001257-peter_berg	6d
1001975-richard_brooks	7d
1006013-keith_gordon	8d
1006266-paul_gross	9d
1009699-bill_maher	10d
1010002-tony_martin	11d
1010653-david_miller	12d
1013265-james_robinson	13d
1013435-david_ross	14d
1015315-don_taylor	15d
1015742-michael_tucker	16d
1022918-andrew_davis	17d
1025643-steve_white	18d
1028179-william_a_seiter	19d
1028754-tom_kennedy	20d
1028855-david_butler	21d
1029950-michael_davis	22d
1030366-kevin_smith	23d
1031663-tim_johnson	24d
1033700-henry_miller	25d
1036363-james_wong	26d
1036586-chris_williams	27d
1036678-tom_moore	28d
1040928-john_carpenter	29d
1040953-nick_castle	30d
1041041-larry_cohen	31d
1041173-richard_day	32d
1041374-james_fargo	33d
1041466-richard_franklin	34d
1041609-michael_gordon	35d
1041635-john_gray	36d
1041643-david_greene	37d
1041809-james_hill	38d
1041838-tom_holland	39d
1042400-george_marshall	40d
1042523-george_miller	41d
1042605-richard_murphy	42d
1042742-alan_parker	43d
1043170-george_b_seitz	44d
1043889-richard_stanley	45d
1044270-john_harrison	46d
1044588-jeffrey_reiner	47d
1045105-todd_phillips	48d
1045216-jim_mckay	49d
1045357-john_henderson	50d
1045365-mark_rappaport	51d
1046415-alan_jacobs	52d
1047199-tim_pope	53d
1047424-john_walsh	54d
1047603-david_parker	55d
1048166-shawn_levy	56d
1049943-peter_howitt	57d
1050292-david_butler	58d
1050341-john_davis	59d
1050543-jeremy_thomas	60d
1051419-robert_gordon	61d
1051480-david_sutherland	62d
1052316-peter_hewitt	63d
1053132-john_ottman	64d
1053315-john_hughes	65d
1053511-steve_james	66d
1054857-peter_duncan	67d
1055159-michael_moore	68d
1055381-audrey_wells	69d
1055580-mark_brown	70d
1056180-george_pappas	71d
1058590-david_leland	72d
1059231-john_waters	73d
1059518-alexander_hall	74d
1060778-joss_whedon	75d
1060941-anthony_page	76d
1061981-bill_clinton	77d
1063458-michael_anderson	78d
1064382-barnaby_thompson	79d
1064812-andy_jones	80d
1066038-richard_moore	81d
1066196-rodrigo_garcia	82d
1069433-robert_young	83d
1069974-robert_stone	84d
